?Àäð,ÌÊ,IP,CR,AR,DR,SP,BR,AC,PS,NZVCÑ÷ÌÊ
D4,00BBE00000,454,0000,000,0000,000,0000,0000,084,0100D5
D5,80C3101040,454,0000,000,0000,000,0000,0000,084,0100C3
C3,0400000000,454,0000,000,0000,000,0000,0000,084,0100C4
C4,80DE801040,454,0000,000,0000,000,0000,0000,084,0100C5
C5,8001401040,454,0000,000,0000,000,0000,0000,084,010001
01,00A0009004,454,0000,454,0000,000,0454,0000,084,010002
02,0104009420,455,0000,454,0200,000,0454,0000,084,010003
03,0002009001,455,0200,454,0200,000,0454,0000,084,010004
04,8109804002,455,0200,454,0200,000,0454,0000,084,010005
05,810C404002,455,0200,454,0200,000,0454,0000,084,010006
06,810C204002,455,0200,454,0200,000,0454,0000,084,010007
07,8078104002,455,0200,454,0200,000,0454,0000,084,010078
78,81A4084002,455,0200,454,0200,000,0454,0000,084,010079
79,8189044002,455,0200,454,0200,000,0454,0000,084,01007A
7A,817D024002,455,0200,454,0200,000,0454,0000,084,01007D
7D,8183014002,455,0200,454,0200,000,0454,0000,084,01007E
7E,8181801002,455,0200,454,0200,000,0454,0000,084,01007F
7F,0010C00000,455,0200,454,0200,000,0454,0000,084,010080
80,80C4101040,455,0200,454,0200,000,0454,0000,084,0100C4
C4,80DE801040,455,0200,454,0200,000,0454,0000,084,0100C5
C5,8001401040,455,0200,454,0200,000,0454,0000,084,010001
01,00A0009004,455,0200,455,0200,000,0455,0000,084,010002
02,0104009420,456,0200,455,EEFD,000,0455,0000,084,010003
03,0002009001,456,EEFD,455,EEFD,000,0455,0000,084,010004
04,8109804002,456,EEFD,455,EEFD,000,0455,0000,084,010009
09,800C404002,456,EEFD,455,EEFD,000,0455,0000,084,01000A
0A,800C204002,456,EEFD,455,EEFD,000,0455,0000,084,01000B
0B,8157104002,456,EEFD,455,EEFD,000,0455,0000,084,01000C
0C,8024084002,456,EEFD,455,EEFD,000,0455,0000,084,01000D
0D,0020011002,456,EEFD,455,EEFD,000,FFFD,0000,084,01000E
0E,811C044002,456,EEFD,455,EEFD,000,FFFD,0000,084,01001C
1C,8120024002,456,EEFD,455,EEFD,000,FFFD,0000,084,010020
20,8023014002,456,EEFD,455,EEFD,000,FFFD,0000,084,010023
23,0001009024,456,EEFD,455,0453,000,FFFD,0000,084,010024
24,8026804002,456,EEFD,455,0453,000,FFFD,0000,084,010025
25,814A404002,456,EEFD,455,0453,000,FFFD,0000,084,01004A
4A,8153204002,456,EEFD,455,0453,000,FFFD,0000,084,010053
53,0080009001,456,EEFD,453,0453,000,FFFD,0000,084,010054
54,0001009010,456,EEFD,453,0000,000,FFFD,0000,084,010055
55,0200000000,456,EEFD,453,0000,000,FFFD,0000,084,010056
56,80C4101040,456,EEFD,453,0000,000,FFFD,0000,084,0100C4
C4,80DE801040,456,EEFD,453,0000,000,FFFD,0000,084,0100C5
C5,8001401040,456,EEFD,453,0000,000,FFFD,0000,084,010001
01,00A0009004,456,EEFD,456,0000,000,0456,0000,084,010002
02,0104009420,457,EEFD,456,AF04,000,0456,0000,084,010003
03,0002009001,457,AF04,456,AF04,000,0456,0000,084,010004
04,8109804002,457,AF04,456,AF04,000,0456,0000,084,010009
09,800C404002,457,AF04,456,AF04,000,0456,0000,084,01000C
0C,8024084002,457,AF04,456,AF04,000,0456,0000,084,01000D
0D,0020011002,457,AF04,456,AF04,000,0004,0000,084,01000E
0E,811C044002,457,AF04,456,AF04,000,0004,0000,084,01001C
1C,8120024002,457,AF04,456,AF04,000,0004,0000,084,010020
20,8023014002,457,AF04,456,AF04,000,0004,0000,084,010021
21,0001009020,457,AF04,456,0004,000,0004,0000,084,010022
22,8028101040,457,AF04,456,0004,000,0004,0000,084,010028
28,813C804002,457,AF04,456,0004,000,0004,0000,084,01003C
3C,8143204002,457,AF04,456,0004,000,0004,0000,084,010043
43,8146104002,457,AF04,456,0004,000,0004,0000,084,010044
44,0010C09001,457,AF04,456,0004,000,0004,0004,080,000045
45,80C4101040,457,AF04,456,0004,000,0004,0004,080,0000C4
C4,80DE801040,457,AF04,456,0004,000,0004,0004,080,0000C5
C5,8001401040,457,AF04,456,0004,000,0004,0004,080,000001
01,00A0009004,457,AF04,457,0004,000,0457,0004,080,000002
02,0104009420,458,AF04,457,EEFA,000,0457,0004,080,000003
03,0002009001,458,EEFA,457,EEFA,000,0457,0004,080,000004
04,8109804002,458,EEFA,457,EEFA,000,0457,0004,080,000009
09,800C404002,458,EEFA,457,EEFA,000,0457,0004,080,00000A
0A,800C204002,458,EEFA,457,EEFA,000,0457,0004,080,00000B
0B,8157104002,458,EEFA,457,EEFA,000,0457,0004,080,00000C
0C,8024084002,458,EEFA,457,EEFA,000,0457,0004,080,00000D
0D,0020011002,458,EEFA,457,EEFA,000,FFFA,0004,080,00000E
0E,811C044002,458,EEFA,457,EEFA,000,FFFA,0004,080,00001C
1C,8120024002,458,EEFA,457,EEFA,000,FFFA,0004,080,000020
20,8023014002,458,EEFA,457,EEFA,000,FFFA,0004,080,000023
23,0001009024,458,EEFA,457,0452,000,FFFA,0004,080,000024
24,8026804002,458,EEFA,457,0452,000,FFFA,0004,080,000025
25,814A404002,458,EEFA,457,0452,000,FFFA,0004,080,00004A
4A,8153204002,458,EEFA,457,0452,000,FFFA,0004,080,000053
53,0080009001,458,EEFA,452,0452,000,FFFA,0004,080,000054
54,0001009010,458,EEFA,452,0004,000,FFFA,0004,080,000055
55,0200000000,458,EEFA,452,0004,000,FFFA,0004,080,000056
56,80C4101040,458,EEFA,452,0004,000,FFFA,0004,080,0000C4
C4,80DE801040,458,EEFA,452,0004,000,FFFA,0004,080,0000C5
C5,8001401040,458,EEFA,452,0004,000,FFFA,0004,080,000001
01,00A0009004,458,EEFA,458,0004,000,0458,0004,080,000002
02,0104009420,459,EEFA,458,AEF7,000,0458,0004,080,000003
03,0002009001,459,AEF7,458,AEF7,000,0458,0004,080,000004
04,8109804002,459,AEF7,458,AEF7,000,0458,0004,080,000009
09,800C404002,459,AEF7,458,AEF7,000,0458,0004,080,00000C
0C,8024084002,459,AEF7,458,AEF7,000,0458,0004,080,00000D
0D,0020011002,459,AEF7,458,AEF7,000,FFF7,0004,080,00000E
0E,811C044002,459,AEF7,458,AEF7,000,FFF7,0004,080,00001C
1C,8120024002,459,AEF7,458,AEF7,000,FFF7,0004,080,000020
20,8023014002,459,AEF7,458,AEF7,000,FFF7,0004,080,000023
23,0001009024,459,AEF7,458,0450,000,FFF7,0004,080,000024
24,8026804002,459,AEF7,458,0450,000,FFF7,0004,080,000025
25,814A404002,459,AEF7,458,0450,000,FFF7,0004,080,000026
26,0080009001,459,AEF7,450,0450,000,FFF7,0004,080,000027
27,0100000000,459,AEF7,450,0466,000,FFF7,0004,080,000028
28,813C804002,459,AEF7,450,0466,000,FFF7,0004,080,00003C
3C,8143204002,459,AEF7,450,0466,000,FFF7,0004,080,000043
43,8146104002,459,AEF7,450,0466,000,FFF7,0004,080,000044
44,0010C09001,459,AEF7,450,0466,000,FFF7,0466,080,000045
45,80C4101040,459,AEF7,450,0466,000,FFF7,0466,080,0000C4
C4,80DE801040,459,AEF7,450,0466,000,FFF7,0466,080,0000C5
C5,8001401040,459,AEF7,450,0466,000,FFF7,0466,080,000001
01,00A0009004,459,AEF7,459,0466,000,0459,0466,080,000002
02,0104009420,45A,AEF7,459,EEF7,000,0459,0466,080,000003
03,0002009001,45A,EEF7,459,EEF7,000,0459,0466,080,000004
04,8109804002,45A,EEF7,459,EEF7,000,0459,0466,080,000009
09,800C404002,45A,EEF7,459,EEF7,000,0459,0466,080,00000A
0A,800C204002,45A,EEF7,459,EEF7,000,0459,0466,080,00000B
0B,8157104002,45A,EEF7,459,EEF7,000,0459,0466,080,00000C
0C,8024084002,45A,EEF7,459,EEF7,000,0459,0466,080,00000D
0D,0020011002,45A,EEF7,459,EEF7,000,FFF7,0466,080,00000E
0E,811C044002,45A,EEF7,459,EEF7,000,FFF7,0466,080,00001C
1C,8120024002,45A,EEF7,459,EEF7,000,FFF7,0466,080,000020
20,8023014002,45A,EEF7,459,EEF7,000,FFF7,0466,080,000023
23,0001009024,45A,EEF7,459,0451,000,FFF7,0466,080,000024
24,8026804002,45A,EEF7,459,0451,000,FFF7,0466,080,000025
25,814A404002,45A,EEF7,459,0451,000,FFF7,0466,080,00004A
4A,8153204002,45A,EEF7,459,0451,000,FFF7,0466,080,000053
53,0080009001,45A,EEF7,451,0451,000,FFF7,0466,080,000054
54,0001009010,45A,EEF7,451,0466,000,FFF7,0466,080,000055
55,0200000000,45A,EEF7,451,0466,000,FFF7,0466,080,000056
56,80C4101040,45A,EEF7,451,0466,000,FFF7,0466,080,0000C4
C4,80DE801040,45A,EEF7,451,0466,000,FFF7,0466,080,0000C5
C5,8001401040,45A,EEF7,451,0466,000,FFF7,0466,080,000001
01,00A0009004,45A,EEF7,45A,0466,000,045A,0466,080,000002
02,0104009420,45B,EEF7,45A,AAF6,000,045A,0466,080,000003
03,0002009001,45B,AAF6,45A,AAF6,000,045A,0466,080,000004
04,8109804002,45B,AAF6,45A,AAF6,000,045A,0466,080,000009
09,800C404002,45B,AAF6,45A,AAF6,000,045A,0466,080,00000C
0C,8024084002,45B,AAF6,45A,AAF6,000,045A,0466,080,00000D
0D,0020011002,45B,AAF6,45A,AAF6,000,FFF6,0466,080,00000E
0E,811C044002,45B,AAF6,45A,AAF6,000,FFF6,0466,080,00000F
0F,0080009024,45B,AAF6,451,AAF6,000,FFF6,0466,080,000010
10,0100000000,45B,AAF6,451,0466,000,FFF6,0466,080,000011
11,8114024002,45B,AAF6,451,0466,000,FFF6,0466,080,000014
14,8119014002,45B,AAF6,451,0466,000,FFF6,0466,080,000015
15,0001009401,45B,AAF6,451,0467,000,FFF6,0466,080,000016
16,0200000000,45B,AAF6,451,0467,000,FFF6,0466,080,000017
17,0001009201,45B,AAF6,451,0466,000,FFF6,0466,080,000018
18,8024101040,45B,AAF6,451,0466,000,FFF6,0466,080,000024
24,8026804002,45B,AAF6,451,0466,000,FFF6,0466,080,000025
25,814A404002,45B,AAF6,451,0466,000,FFF6,0466,080,000026
26,0080009001,45B,AAF6,466,0466,000,FFF6,0466,080,000027
27,0100000000,45B,AAF6,466,0280,000,FFF6,0466,080,000028
28,813C804002,45B,AAF6,466,0280,000,FFF6,0466,080,00003C
3C,8143204002,45B,AAF6,466,0280,000,FFF6,0466,080,000043
43,8146104002,45B,AAF6,466,0280,000,FFF6,0466,080,000044
44,0010C09001,45B,AAF6,466,0280,000,FFF6,0280,080,000045
45,80C4101040,45B,AAF6,466,0280,000,FFF6,0280,080,0000C4
C4,80DE801040,45B,AAF6,466,0280,000,FFF6,0280,080,0000C5
C5,8001401040,45B,AAF6,466,0280,000,FFF6,0280,080,000001
01,00A0009004,45B,AAF6,45B,0280,000,045B,0280,080,000002
02,0104009420,45C,AAF6,45B,0480,000,045B,0280,080,000003
03,0002009001,45C,0480,45B,0480,000,045B,0280,080,000004
04,8109804002,45C,0480,45B,0480,000,045B,0280,080,000005
05,810C404002,45C,0480,45B,0480,000,045B,0280,080,000006
06,810C204002,45C,0480,45B,0480,000,045B,0280,080,000007
07,8078104002,45C,0480,45B,0480,000,045B,0280,080,000078
78,81A4084002,45C,0480,45B,0480,000,045B,0280,080,000079
79,8189044002,45C,0480,45B,0480,000,045B,0280,080,000089
89,8196024002,45C,0480,45B,0480,000,045B,0280,080,00008A
8A,8190014002,45C,0480,45B,0480,000,045B,0280,080,00008B
8B,818E801002,45C,0480,45B,0480,000,045B,0280,080,00008E
8E,0010F80010,45C,0480,45B,0480,000,045B,0140,080,00008F
8F,80C4101040,45C,0480,45B,0480,000,045B,0140,080,0000C4
C4,80DE801040,45C,0480,45B,0480,000,045B,0140,080,0000C5
C5,8001401040,45C,0480,45B,0480,000,045B,0140,080,000001
01,00A0009004,45C,0480,45C,0480,000,045C,0140,080,000002
02,0104009420,45D,0480,45C,F406,000,045C,0140,080,000003
03,0002009001,45D,F406,45C,F406,000,045C,0140,080,000004
04,8109804002,45D,F406,45C,F406,000,045C,0140,080,000009
09,800C404002,45D,F406,45C,F406,000,045C,0140,080,00000A
0A,800C204002,45D,F406,45C,F406,000,045C,0140,080,00000B
0B,8157104002,45D,F406,45C,F406,000,045C,0140,080,000057
57,8171084002,45D,F406,45C,F406,000,045C,0140,080,000058
58,8166044002,45D,F406,45C,F406,000,045C,0140,080,000066
66,816C024002,45D,F406,45C,F406,000,045C,0140,080,000067
67,816A014002,45D,F406,45C,F406,000,045C,0140,080,000068
68,815C011040,45D,F406,45C,F406,000,045C,0140,080,000069
69,80C4101040,45D,F406,45C,F406,000,045C,0140,080,0000C4
C4,80DE801040,45D,F406,45C,F406,000,045C,0140,080,0000C5
C5,8001401040,45D,F406,45C,F406,000,045C,0140,080,000001
01,00A0009004,45D,F406,45D,F406,000,045D,0140,080,000002
02,0104009420,45E,F406,45D,0480,000,045D,0140,080,000003
03,0002009001,45E,0480,45D,0480,000,045D,0140,080,000004
04,8109804002,45E,0480,45D,0480,000,045D,0140,080,000005
05,810C404002,45E,0480,45D,0480,000,045D,0140,080,000006
06,810C204002,45E,0480,45D,0480,000,045D,0140,080,000007
07,8078104002,45E,0480,45D,0480,000,045D,0140,080,000078
78,81A4084002,45E,0480,45D,0480,000,045D,0140,080,000079
79,8189044002,45E,0480,45D,0480,000,045D,0140,080,000089
89,8196024002,45E,0480,45D,0480,000,045D,0140,080,00008A
8A,8190014002,45E,0480,45D,0480,000,045D,0140,080,00008B
8B,818E801002,45E,0480,45D,0480,000,045D,0140,080,00008E
8E,0010F80010,45E,0480,45D,0480,000,045D,00A0,080,00008F
8F,80C4101040,45E,0480,45D,0480,000,045D,00A0,080,0000C4
C4,80DE801040,45E,0480,45D,0480,000,045D,00A0,080,0000C5
C5,8001401040,45E,0480,45D,0480,000,045D,00A0,080,000001
01,00A0009004,45E,0480,45E,0480,000,045E,00A0,080,000002
02,0104009420,45F,0480,45E,F404,000,045E,00A0,080,000003
03,0002009001,45F,F404,45E,F404,000,045E,00A0,080,000004
04,8109804002,45F,F404,45E,F404,000,045E,00A0,080,000009
09,800C404002,45F,F404,45E,F404,000,045E,00A0,080,00000A
0A,800C204002,45F,F404,45E,F404,000,045E,00A0,080,00000B
0B,8157104002,45F,F404,45E,F404,000,045E,00A0,080,000057
57,8171084002,45F,F404,45E,F404,000,045E,00A0,080,000058
58,8166044002,45F,F404,45E,F404,000,045E,00A0,080,000066
66,816C024002,45F,F404,45E,F404,000,045E,00A0,080,000067
67,816A014002,45F,F404,45E,F404,000,045E,00A0,080,000068
68,815C011040,45F,F404,45E,F404,000,045E,00A0,080,000069
69,80C4101040,45F,F404,45E,F404,000,045E,00A0,080,0000C4
C4,80DE801040,45F,F404,45E,F404,000,045E,00A0,080,0000C5
C5,8001401040,45F,F404,45E,F404,000,045E,00A0,080,000001
01,00A0009004,45F,F404,45F,F404,000,045F,00A0,080,000002
02,0104009420,460,F404,45F,0400,000,045F,00A0,080,000003
03,0002009001,460,0400,45F,0400,000,045F,00A0,080,000004
04,8109804002,460,0400,45F,0400,000,045F,00A0,080,000005
05,810C404002,460,0400,45F,0400,000,045F,00A0,080,000006
06,810C204002,460,0400,45F,0400,000,045F,00A0,080,000007
07,8078104002,460,0400,45F,0400,000,045F,00A0,080,000078
78,81A4084002,460,0400,45F,0400,000,045F,00A0,080,000079
79,8189044002,460,0400,45F,0400,000,045F,00A0,080,000089
89,8196024002,460,0400,45F,0400,000,045F,00A0,080,00008A
8A,8190014002,460,0400,45F,0400,000,045F,00A0,080,00008B
8B,818E801002,460,0400,45F,0400,000,045F,00A0,080,00008C
8C,0010E60010,460,0400,45F,0400,000,045F,0140,080,00008D
8D,80C4101040,460,0400,45F,0400,000,045F,0140,080,0000C4
C4,80DE801040,460,0400,45F,0400,000,045F,0140,080,0000C5
C5,8001401040,460,0400,45F,0400,000,045F,0140,080,000001
01,00A0009004,460,0400,460,0400,000,0460,0140,080,000002
02,0104009420,461,0400,460,0400,000,0460,0140,080,000003
03,0002009001,461,0400,460,0400,000,0460,0140,080,000004
04,8109804002,461,0400,460,0400,000,0460,0140,080,000005
05,810C404002,461,0400,460,0400,000,0460,0140,080,000006
06,810C204002,461,0400,460,0400,000,0460,0140,080,000007
07,8078104002,461,0400,460,0400,000,0460,0140,080,000078
78,81A4084002,461,0400,460,0400,000,0460,0140,080,000079
79,8189044002,461,0400,460,0400,000,0460,0140,080,000089
89,8196024002,461,0400,460,0400,000,0460,0140,080,00008A
8A,8190014002,461,0400,460,0400,000,0460,0140,080,00008B
8B,818E801002,461,0400,460,0400,000,0460,0140,080,00008C
8C,0010E60010,461,0400,460,0400,000,0460,0280,080,00008D
8D,80C4101040,461,0400,460,0400,000,0460,0280,080,0000C4
C4,80DE801040,461,0400,460,0400,000,0460,0280,080,0000C5
C5,8001401040,461,0400,460,0400,000,0460,0280,080,000001
01,00A0009004,461,0400,461,0400,000,0461,0280,080,000002
02,0104009420,462,0400,461,4EF1,000,0461,0280,080,000003
03,0002009001,462,4EF1,461,4EF1,000,0461,0280,080,000004
04,8109804002,462,4EF1,461,4EF1,000,0461,0280,080,000005
05,810C404002,462,4EF1,461,4EF1,000,0461,0280,080,00000C
0C,8024084002,462,4EF1,461,4EF1,000,0461,0280,080,00000D
0D,0020011002,462,4EF1,461,4EF1,000,FFF1,0280,080,00000E
0E,811C044002,462,4EF1,461,4EF1,000,FFF1,0280,080,00001C
1C,8120024002,462,4EF1,461,4EF1,000,FFF1,0280,080,000020
20,8023014002,462,4EF1,461,4EF1,000,FFF1,0280,080,000023
23,0001009024,462,4EF1,461,0453,000,FFF1,0280,080,000024
24,8026804002,462,4EF1,461,0453,000,FFF1,0280,080,000026
26,0080009001,462,4EF1,453,0453,000,FFF1,0280,080,000027
27,0100000000,462,4EF1,453,0000,000,FFF1,0280,080,000028
28,813C804002,462,4EF1,453,0000,000,FFF1,0280,080,000029
29,8130404002,462,4EF1,453,0000,000,FFF1,0280,080,000030
30,8137204002,462,4EF1,453,0000,000,FFF1,0280,080,000031
31,8134104002,462,4EF1,453,0000,000,FFF1,0280,080,000032
32,0010E09011,462,4EF1,453,0000,000,FFF1,0280,080,000033
33,80C4101040,462,4EF1,453,0000,000,FFF1,0280,080,0000C4
C4,80DE801040,462,4EF1,453,0000,000,FFF1,0280,080,0000C5
C5,8001401040,462,4EF1,453,0000,000,FFF1,0280,080,000001
01,00A0009004,462,4EF1,462,0000,000,0462,0280,080,000002
02,0104009420,463,4EF1,462,EEF0,000,0462,0280,080,000003
03,0002009001,463,EEF0,462,EEF0,000,0462,0280,080,000004
04,8109804002,463,EEF0,462,EEF0,000,0462,0280,080,000009
09,800C404002,463,EEF0,462,EEF0,000,0462,0280,080,00000A
0A,800C204002,463,EEF0,462,EEF0,000,0462,0280,080,00000B
0B,8157104002,463,EEF0,462,EEF0,000,0462,0280,080,00000C
0C,8024084002,463,EEF0,462,EEF0,000,0462,0280,080,00000D
0D,0020011002,463,EEF0,462,EEF0,000,FFF0,0280,080,00000E
0E,811C044002,463,EEF0,462,EEF0,000,FFF0,0280,080,00001C
1C,8120024002,463,EEF0,462,EEF0,000,FFF0,0280,080,000020
20,8023014002,463,EEF0,462,EEF0,000,FFF0,0280,080,000023
23,0001009024,463,EEF0,462,0453,000,FFF0,0280,080,000024
24,8026804002,463,EEF0,462,0453,000,FFF0,0280,080,000025
25,814A404002,463,EEF0,462,0453,000,FFF0,0280,080,00004A
4A,8153204002,463,EEF0,462,0453,000,FFF0,0280,080,000053
53,0080009001,463,EEF0,453,0453,000,FFF0,0280,080,000054
54,0001009010,463,EEF0,453,0280,000,FFF0,0280,080,000055
55,0200000000,463,EEF0,453,0280,000,FFF0,0280,080,000056
56,80C4101040,463,EEF0,453,0280,000,FFF0,0280,080,0000C4
C4,80DE801040,463,EEF0,453,0280,000,FFF0,0280,080,0000C5
C5,8001401040,463,EEF0,453,0280,000,FFF0,0280,080,000001
01,00A0009004,463,EEF0,463,0280,000,0463,0280,080,000002
02,0104009420,464,EEF0,463,8452,000,0463,0280,080,000003
03,0002009001,464,8452,463,8452,000,0463,0280,080,000004
04,8109804002,464,8452,463,8452,000,0463,0280,080,000009
09,800C404002,464,8452,463,8452,000,0463,0280,080,00000C
0C,8024084002,464,8452,463,8452,000,0463,0280,080,000024
24,8026804002,464,8452,463,8452,000,0463,0280,080,000025
25,814A404002,464,8452,463,8452,000,0463,0280,080,000026
26,0080009001,464,8452,452,8452,000,0463,0280,080,000027
27,0100000000,464,8452,452,0004,000,0463,0280,080,000028
28,813C804002,464,8452,452,0004,000,0463,0280,080,00003C
3C,8143204002,464,8452,452,0004,000,0463,0280,080,00003D
3D,81E0104002,464,8452,452,0004,000,0463,0280,080,00003E
3E,0001009201,464,8452,452,0003,000,0463,0280,080,00003F
3F,0220009201,464,8452,452,0003,000,0002,0280,080,000040
40,80C4804020,464,8452,452,0003,000,0002,0280,080,0000C4
C4,80DE801040,464,8452,452,0003,000,0002,0280,080,0000C5
C5,8001401040,464,8452,452,0003,000,0002,0280,080,000001
01,00A0009004,464,8452,464,0003,000,0464,0280,080,000002
02,0104009420,465,8452,464,CEF5,000,0464,0280,080,000003
03,0002009001,465,CEF5,464,CEF5,000,0464,0280,080,000004
04,8109804002,465,CEF5,464,CEF5,000,0464,0280,080,000009
09,800C404002,465,CEF5,464,CEF5,000,0464,0280,080,00000A
0A,800C204002,465,CEF5,464,CEF5,000,0464,0280,080,00000C
0C,8024084002,465,CEF5,464,CEF5,000,0464,0280,080,00000D
0D,0020011002,465,CEF5,464,CEF5,000,FFF5,0280,080,00000E
0E,811C044002,465,CEF5,464,CEF5,000,FFF5,0280,080,00001C
1C,8120024002,465,CEF5,464,CEF5,000,FFF5,0280,080,000020
20,8023014002,465,CEF5,464,CEF5,000,FFF5,0280,080,000023
23,0001009024,465,CEF5,464,045A,000,FFF5,0280,080,000024
24,8026804002,465,CEF5,464,045A,000,FFF5,0280,080,000025
25,814A404002,465,CEF5,464,045A,000,FFF5,0280,080,00004A
4A,8153204002,465,CEF5,464,045A,000,FFF5,0280,080,00004B
4B,814E104002,465,CEF5,464,045A,000,FFF5,0280,080,00004C
4C,0004009001,45A,CEF5,464,045A,000,FFF5,0280,080,00004D
4D,80C4101040,45A,CEF5,464,045A,000,FFF5,0280,080,0000C4
C4,80DE801040,45A,CEF5,464,045A,000,FFF5,0280,080,0000C5
C5,8001401040,45A,CEF5,464,045A,000,FFF5,0280,080,000001
01,00A0009004,45A,CEF5,45A,045A,000,045A,0280,080,000002
02,0104009420,45B,CEF5,45A,AAF6,000,045A,0280,080,000003
03,0002009001,45B,AAF6,45A,AAF6,000,045A,0280,080,000004
04,8109804002,45B,AAF6,45A,AAF6,000,045A,0280,080,000009
09,800C404002,45B,AAF6,45A,AAF6,000,045A,0280,080,00000C
0C,8024084002,45B,AAF6,45A,AAF6,000,045A,0280,080,00000D
0D,0020011002,45B,AAF6,45A,AAF6,000,FFF6,0280,080,00000E
0E,811C044002,45B,AAF6,45A,AAF6,000,FFF6,0280,080,00000F
0F,0080009024,45B,AAF6,451,AAF6,000,FFF6,0280,080,000010
10,0100000000,45B,AAF6,451,0467,000,FFF6,0280,080,000011
11,8114024002,45B,AAF6,451,0467,000,FFF6,0280,080,000014
14,8119014002,45B,AAF6,451,0467,000,FFF6,0280,080,000015
15,0001009401,45B,AAF6,451,0468,000,FFF6,0280,080,000016
16,0200000000,45B,AAF6,451,0468,000,FFF6,0280,080,000017
17,0001009201,45B,AAF6,451,0467,000,FFF6,0280,080,000018
18,8024101040,45B,AAF6,451,0467,000,FFF6,0280,080,000024
24,8026804002,45B,AAF6,451,0467,000,FFF6,0280,080,000025
25,814A404002,45B,AAF6,451,0467,000,FFF6,0280,080,000026
26,0080009001,45B,AAF6,467,0467,000,FFF6,0280,080,000027
27,0100000000,45B,AAF6,467,1002,000,FFF6,0280,080,000028
28,813C804002,45B,AAF6,467,1002,000,FFF6,0280,080,00003C
3C,8143204002,45B,AAF6,467,1002,000,FFF6,0280,080,000043
43,8146104002,45B,AAF6,467,1002,000,FFF6,0280,080,000044
44,0010C09001,45B,AAF6,467,1002,000,FFF6,1002,080,000045
45,80C4101040,45B,AAF6,467,1002,000,FFF6,1002,080,0000C4
C4,80DE801040,45B,AAF6,467,1002,000,FFF6,1002,080,0000C5
C5,8001401040,45B,AAF6,467,1002,000,FFF6,1002,080,000001
01,00A0009004,45B,AAF6,45B,1002,000,045B,1002,080,000002
02,0104009420,45C,AAF6,45B,0480,000,045B,1002,080,000003
03,0002009001,45C,0480,45B,0480,000,045B,1002,080,000004
04,8109804002,45C,0480,45B,0480,000,045B,1002,080,000005
05,810C404002,45C,0480,45B,0480,000,045B,1002,080,000006
06,810C204002,45C,0480,45B,0480,000,045B,1002,080,000007
07,8078104002,45C,0480,45B,0480,000,045B,1002,080,000078
78,81A4084002,45C,0480,45B,0480,000,045B,1002,080,000079
79,8189044002,45C,0480,45B,0480,000,045B,1002,080,000089
