?јдр,«нчн,IP,CR,AR,DR,SP,BR,AC,PS,NZVC,јдр,«нчн
030,0200,030,0000,000,0000,000,0000,0000,004,0100
030,0200,031,0200,030,0200,000,0030,0000,004,0100
031,EE1A,032,EE1A,04C,0000,000,001A,0000,004,0100,04C,0000
032,AE16,033,AE16,049,1234,000,0016,1234,000,0000
033,0C00,034,0C00,7FF,1234,7FF,0033,1234,000,0000,7FF,1234
034,D70B,70B,D70B,7FE,0035,7FE,D70B,1234,000,0000,7FE,0035
70B,AC01,70C,AC01,7FF,1234,7FE,0001,1234,000,0000
70C,F303,710,F303,70C,F303,7FE,0003,1234,000,0000
710,4C01,711,4C01,7FF,1234,7FE,0001,2468,000,0000
711,4C01,712,4C01,7FF,1234,7FE,0001,369C,000,0000
712,4C01,713,4C01,7FF,1234,7FE,0001,48D0,000,0000
713,6E05,714,6E05,719,0028,7FE,0005,48A8,001,0001
714,CE01,716,CE01,714,0716,7FE,0001,48A8,001,0001
716,EC01,717,EC01,7FF,48A8,7FE,0001,48A8,001,0001,7FF,48A8
717,0A00,035,0A00,7FE,0035,7FF,0717,48A8,001,0001
035,0800,036,0800,7FF,48A8,000,0035,48A8,001,0001
036,0700,037,0700,036,0700,000,0036,48A9,000,0000
037,6E14,038,6E14,04C,0000,000,0014,48A9,001,0001
038,EE13,039,EE13,04C,48A9,000,0013,48A9,001,0001,04C,48A9
039,AE10,03A,AE10,04A,00F3,000,0010,00F3,001,0001
03A,0740,03B,0740,03A,0740,000,003A,00F2,001,0001
03B,0C00,03C,0C00,7FF,00F2,7FF,003B,00F2,001,0001,7FF,00F2
03C,D70B,70B,D70B,7FE,003D,7FE,D70B,00F2,001,0001,7FE,003D
70B,AC01,70C,AC01,7FF,00F2,7FE,0001,00F2,001,0001
70C,F303,710,F303,70C,F303,7FE,0003,00F2,001,0001
710,4C01,711,4C01,7FF,00F2,7FE,0001,01E4,000,0000
711,4C01,712,4C01,7FF,00F2,7FE,0001,02D6,000,0000
712,4C01,713,4C01,7FF,00F2,7FE,0001,03C8,000,0000
713,6E05,714,6E05,719,0028,7FE,0005,03A0,001,0001
714,CE01,716,CE01,714,0716,7FE,0001,03A0,001,0001
716,EC01,717,EC01,7FF,03A0,7FE,0001,03A0,001,0001,7FF,03A0
717,0A00,03D,0A00,7FE,003D,7FF,0717,03A0,001,0001
03D,0800,03E,0800,7FF,03A0,000,003D,03A0,001,0001
03E,4E0D,03F,4E0D,04C,48A9,000,000D,4C49,000,0000
03F,EE0C,040,EE0C,04C,4C49,000,000C,4C49,000,0000,04C,4C49
040,AE0A,041,AE0A,04B,003E,000,000A,003E,000,0000
041,0700,042,0700,041,0700,000,0041,003F,000,0000
042,0C00,043,0C00,7FF,003F,7FF,0042,003F,000,0000,7FF,003F
043,D70B,70B,D70B,7FE,0044,7FE,D70B,003F,000,0000,7FE,0044
70B,AC01,70C,AC01,7FF,003F,7FE,0001,003F,000,0000
70C,F303,710,F303,70C,F303,7FE,0003,003F,000,0000
710,4C01,711,4C01,7FF,003F,7FE,0001,007E,000,0000
711,4C01,712,4C01,7FF,003F,7FE,0001,00BD,000,0000
712,4C01,713,4C01,7FF,003F,7FE,0001,00FC,000,0000
713,6E05,714,6E05,719,0028,7FE,0005,00D4,001,0001
714,CE01,716,CE01,714,0716,7FE,0001,00D4,001,0001
716,EC01,717,EC01,7FF,00D4,7FE,0001,00D4,001,0001,7FF,00D4
717,0A00,044,0A00,7FE,0044,7FF,0717,00D4,001,0001
044,0800,045,0800,7FF,00D4,000,0044,00D4,001,0001
045,0740,046,0740,045,0740,000,0045,00D3,001,0001
046,4E05,047,4E05,04C,4C49,000,0005,4D1C,000,0000
047,EE04,048,EE04,04C,4D1C,000,0004,4D1C,000,0000,04C,4D1C
048,0100,049,0100,048,0100,000,0048,4D1C,000,0000
